text9048;"""AAAAAAAAAH!"""
text9049;"""My own scream woke me up."""
text9050;"""Was it… <w>just a dream?!"""
text9051;"""It felt like hadn't had nightmares in years."""
text9052;"""Or any dreams at all, for that matter."""
text9053;"""I was sitting in my bed, sweating and gasping intensely."""
text9054;"""Well, I had it coming."""
text9055;"""Even if it all had happened in reality, I would have deserved it."""
text9056;"""Himitsu seemed to not understand what had happened at first."""
text9057;"""And Catherine? <w>She ran away, disgraced and humiliated."""
text9058;"""I didn't know which one of them made me feel more ashamed."""
text9059;"""I acted despicably and cowardly towards Himitsu, and as for Katya… <w>What was that even?!"""
text9060;"""Definitely not an attempt to bring everything back the way it used to be!"""
text9061;"""Well, I most probably lost Himitsu forever."""
text9062;"""At least, no words or apologies could redeem me in her eyes."""
text9063;"""Even if she would forgive me in the end."""
text9064;"""She would not forget it, no, just pretend it was all behind us."""
text9065;"""And was <i>I</I> ready to forgive after everything I'd learned about her?"""
text9066;"""Perhaps what happened happened for the best?"""
text9067;"""If we didn't communicate, she wouldn't be able to spy on me…"""
text9068;"""However, things were completely different in Catherine's case!"""
text9069;"""After yesterday, she definitely couldn't claim she had no feelings for me!"""
text9070;"""There was a chance that all of this was just a elaborate plan of revenge or that she was unable to figure herself out."""
text9071;"""Whatever!"""
text9072;"""Love is better than hatred, but hatred is better than indifference."""
text9073;"""And, surely, any sort of indifference is better than the \""I don't care so much I can't shut up about it\"" attitude!"""
text9074;"""And that's exactly what Catherine had been doing the entire week!"""
text9075;"""At every opportunity, she let me know that her return to Japan had nothing to do with me, that she cared nothing for my feelings."""
text9076;"""Even yesterday's phony melodrama!"""
text9077;"""By now, my emotions had cooled somewhat, and yesterday's events no longer appeared to be some tragic coincidence."""
text9078;"""She must've come to me with a goal in mind!"""
text9079;"""Perhaps she wanted to explain how things really were, apologize or something like that?"""
text9080;"""It was easier to believe that her main goal was sex than that!"""
text9081;"""I arduously rolled off the bed and groaned."""
text9082;"""I didn't know how a marathon runner feels after winning the Olympics, but this was exactly the sensation of the morning after an alco-marathon."""
text9083;"""I wondered how many times Himitsu had found me like this, lying senselessly, like an animal, in various parts of my house…"""
text9084;"""My parents' death hit me hard, but I started drinking regularly after Catherine and I broke up."""
text9085;"""At first I still attended school, pretending to be a normal person, but would get shitfaced every night."""
text9086;"""And then I fully realized the veracity of the saying <note=note160>\""If drinking stands in the way of your work…\""</note>"""
text9087;"""God, I don't know what would've become of me if not for Himitsu."""
text9088;"""She would come every day, cook (there was always a \""hangover\"" breakfast waiting for me on the table), and even wash my vomit-soaked clothes."""
text9089;"""At that time I didn't feel ashamed — a drunkard doesn't care much about morals, a heavy drunkard cares even less."""
text9090;"""Later on, I simply didn't want to recall what had been happening, including the way I'd been treating Himitsu."""
text9091;"""Of course, I was grateful to her, but this gratitude was sort of perfunctory, more like the relationship of a Japanese employee and his boss."""
text9092;"""I was really missing that hangover breakfast right about now…"""
text9093;"""I managed to make something resembling scrambled eggs but couldn't force myself to eat it."""
text9094;"""Only water and aspirin didn't cause me to immediately gag."""
text9095;"""The autumn sun was still warm, but a light breeze had already started to blow in from outside."""
text9096;"""Sakura leaves would fall soon — and a new chapter of my life would start…"""
text9097;"""I heard the sound of an approaching car."""
text9098;"""It turned out to be Himitsu's father."""
text9099;"""It would be better if he didn't see me in this condition."""
text9100;"""Would probably be best if he never saw me again!"""
text9101;"""I was pointlessly staring out the window."""
text9102;"""Our street was always pretty quiet, but on Sundays it seemed to completely die off."""
text9103;"""Naturally polite, Japanese people usually tried not to disturb their neighbors anyway, but it appeared as if on Sundays they hid in their cellars."""
text9104;"""Which was a pity…"""
text9105;"""A little hustle and bustle could help me right about now…"""
text9106;"""…"""
text9107;"""A girl was walking down the street."""
text9108;"""And it was Catherine!"""
text9109;"""I jumped up from the chair and leaned on the window."""
text9110;"""Yes, it was her! <w>Again...?"""
text9111;"""However, Catherine didn't even spare my house a glance and entered Himitsu's yard."""
text9112;"""She rang the doorbell, and, after a few seconds, the mistress of the house appeared at the doorstep."""
text9113;"""Of course, I couldn't hear them from this distance, I couldn't even really see their faces."""
text9114;"""Just a minute later, both of them went inside."""
text9115;"""I was so shocked that even the ability to think straight took a while to come back."""
text9116;"""It was obvious that Catherine came to explain herself, what else could this be?"""
text9117;"""And she clearly believed I didn't deserve the same treatment!"""
text9118;"""However, it was understandable: Katya cared a lot about what others thought of her. <w>Even in a situation like this!"""
text9119;"""What if they were all in cahoots…?"""
text9120;"""Himitsu's father watching my family, Himitsu watching me, Catherine also watching me."""
text9121;"""Everyone watching me…"""
text9122;"""These thoughts made my head spin and I had to sit down."""
text9123;"""But she was only going to make things worse!"""
text9124;"""I had no idea what they were talking about, what they <i>could</i> be talking about after what'd happened yesterday."""
text9125;"""I couldn't imagine Catherine apologizing."""
text9126;"""And proving something to Himitsu was simply beneath her dignity."""
text9127;"""The wait seemed painfully long."""
text9128;"""Were they having a tea party there while I was torturing myself?!"""
text9129;"""Finally, Catherine left the house and the door closed behind her, but I never saw Himitsu."""
text9130;"""Katya appeared to be outwardly calm, as usual."""
text9131;"""Stumbling into walls, I ran to the hallway, put on my shoes, and rushed outside."""
text9132;"""Catherine walked the route to the city centre. Not very quickly, but not slowly either."""
text9133;"""I ran after her, doing my best to stay unnoticed."""
text9134;"""God, why was I doing this?"""
text9135;"""Couldn't I just approach her and talk?"""
text9136;"""And most importantly, what was my goal here?"""
text9137;"""Trace her to her safe house and catch the entire US intelligence network red-handed?"""
text9138;"""Unfortunately, decisions made once can be very hard to change on the go."""
text9139;"""…"""
text9140;"""The hangover was making itself known — even walking was hard enough, not to mention pretending to be a spy…"""
text9141;"""The bright sun was blinding me, making my head spin, and the running and agitation made me sweat like a pig."""
text9142;"""The decent Japanese passersby looked at me with surprise and apprehension."""
text9143;"""Odd behavior in public was not encouraged here."""
text9144;"""I mean odd to any extent — my chase would've looked stupid in any country in the world."""
text9145;"""However, Catherine didn't look back once and thus never saw me."""
text9146;"""…"""
text9147;"""Soon we reached the city centre, and Katya slowed down."""
text9148;"""Why did she come to this place?"""
text9149;"""We had our first kiss at the window of that electronics store."""
text9150;"""There were way more people on the street than my alcohol-poisoned vestibular system could handle. I felt dizzy, off-balance."""
text9151;"""At some point I lost sight of Catherine…"""
text9152;"""And stopped immediately in order to avoid running into her."""
text9153;"""Well that was it! <w>The logical outcome."""
text9154;"""You make for a bad detective."""
text9155;"""Her bored voice came from behind me."""
text9156;"""You… when did you figure out I was following you?"""
text9157;"""I could smell your booze breath from a mile away!"""
text9158;"""Katya said annoyedly."""
text9159;"""Then why all <i>this</i>?"""
text9160;"""Why not?"""
text9161;"""I assume you're not gonna tell me what you were doing at Himitsu's?"""
text9162;"""Isn't it obvious?"""
text9163;"""Catherine wasn't even trying to hide her irritation."""
text9164;"""Of course, she was entitled to her reaction, but aggression this blatant was a bit much."""
text9165;"""You could've stopped by my place too…"""
text9166;"""Why would I?"""
