text39478;"""Niko-san, wake up…"""
text39479;"""I heard somebody's persistent voice in my dream."""
text39480;"""We'll be late for school!"""
text39481;"""Sunshine, just five more minutes…"""
text39482;"""I opened my eyes but instead of Himitsu, I saw Kagome leaning over me."""
text39483;"""Oh, it's you…"""
text39484;"""Disappointed?"""
text39485;"""A little. What time is it?"""
text39486;"""Late enough to not make it to school on time."""
text39487;"""She kept standing there like she waiting for something."""
text39488;"""Well?"""
text39489;"""What?"""
text39490;"""Maybe you'll let me get dressed?"""
text39491;"""Ah, yeah, sorry."""
text39492;"""Kagome blushed and ran out of my room."""
text39493;"""We had a quick breakfast and left for school."""
text39494;"""I was trying to wake you up for an hour!"""
text39495;"""Get used to it."""
text39496;"""I scoffed, at the same time trying to drive back the stubborn yawning."""
text39497;"""Thanks God I won't need to tolerate it for long."""
text39498;"""Her words somehow stung me, like if an old friend had just told me that they were moving abroad forever."""
text39499;"""What, Niko-san, did you hope you'd found a free cook?"""
text39500;"""Guess I did…"""
text39501;"""I said bitterly in response and picked up my pace."""
text39502;"""…"""
text39503;"""We split up closer to school, and I had to just stand and wait for Kagome to move ahead."""
text39504;"""…"""
text39505;"""Our classroom was in turmoil — everyone was broken up into small groups, feverishly discussing something."""
text39506;"""Only Kagome sat alone, her head resting on her hand, looking out the window."""
text39507;"""Michael approached."""
text39508;"""Have you heard what happened, Nick?"""
text39509;"""No…"""
text39510;"""Kobayashi Ellie was kidnapped."""
text39511;"""Kidnapped? By who?"""
text39512;"""They say Asakura had a hand in it."""
text39513;"""Asakura?"""
text39514;"""I exclaimed."""
text39515;"""Michael squinted and tilted his head strangely."""
text39516;"""It's like you're not surprised she was kidnapped at all."""
text39517;"""Why of course, because it's me keeping Ellie hostage in my basement! Michael, seriously!"""
text39518;"""I'm serious."""
text39519;"""Fine, what are they saying?"""
text39520;"""That Asakura and a girl from Kobayashi's class…"""
text39521;"""Kawashima."""
text39522;"""Yes, Kawashima. Seems like they had an argument about something."""
text39523;"""<i>An argument</i>!"""
text39524;"""I smirked."""
text39525;"""Either way, they've been detained and are now being interrogated at the police station."""
text39526;"""Where did the information come from?"""
text39527;"""Everyone just knows it. Maybe someone overheard the teachers."""
text39528;"""What a trustworthy source…"""
text39529;"""I wanted to add something else, but then the bell rang."""
text39530;"""…"""
text39531;"""Was Kagome right after all?"""
text39532;"""The situation was developing a bit too rapidly."""
text39533;"""Plus, if I were to look at Asakura and Kawashima…"""
text39534;"""In just a few days they'd gone from smearing swearwords on my door and breaking a window to setting a restaurant on fire and kidnapping people."""
text39535;"""On the other hand, I had no reason to defend them. <w>And no desire, most importantly."""
text39536;"""Except that if they were actually innocent, imprisoning them wouldn't help find Ellie."""
text39537;"""During the break I nodded at Kagome, indicating that I wanted to talk."""
text39538;"""I didn't want to go to the roof today, so I brought her to the old school wing. <w>After all, today we certainly weren't going to bump into Ellie here..."""
text39539;"""Well, happy now?"""
text39540;"""I am and I'm not going to hide it."""
text39541;"""She grinned and looked up into my eyes in a way I found embarrassing."""
text39542;"""What if they have nothing to do with it? What matters is finding Ellie, not getting revenge on Kawashima."""
text39543;"""Personally, I'm not too worried about what happens to Kobayashi."""
text39544;"""Right, what am saying?!"""
text39545;"""Niko-san, don't tell me you pity them."""
text39546;"""If they're innocent…"""
text39547;"""Even if you assume they had nothing to do with Kobayashi's kidnapping, it was definitely them who burned down my restaurant!"""
text39548;"""Well, if that's what you believe…"""
text39549;"""Don't you?"""
text39550;"""It just seems to me that…"""
text39551;"""I sighed and looked at the door of the old music class."""
text39552;"""Things are getting too intense too quickly. First vandalism, then arson, now kidnapping?"""
text39553;"""I'm willing to admit that at least Kawashima isn't an idiot, but isn't this a little too much?"""
text39554;"""Besides, don't forget that they basically worshipped Ellie. And they had something to lose."""
text39555;"""Do you think they know what loss is?"""
text39556;"""Kagome scoffed with disdain."""
text39557;"""I don't think they burning with desire to find out."""
text39558;"""She noticed the direction of my gaze and jerked her shoulders in irritation."""
text39559;"""Niko-san, it sounds like you're defending them!"""
text39560;"""I'm not defending anyone… I just want to learn the truth. And rescue Ellie."""
text39561;"""You seem to be too concerned about her."""
text39562;"""If something happens to the granddaughter of the head of Kobayashi Corporation, we might all be found guilty."""
text39563;"""You haven't forgotten that I was in his office just recently, right?"""
text39564;"""Is that the only reason?"""
text39565;"""<i>The only reason</i>!"""
text39566;"""I flung my arms up in the air and stepped away from Kagome, demonstrating my extreme disappointment in her lack of forethought."""
text39567;"""I'm planning to make it to graduation! And if I remember right, you were going to get into a university, too!"""
text39568;"""But there's no blame on us for Kobayashi's disappearance — so what should we be afraid of?"""
text39569;"""Are you sure there isn't?"""
text39570;"""I only said it out of pure contrarianism — sometimes you just want to say something back so badly you can't keep quiet, even knowing the consequences of your pointless remark."""
text39571;"""Well then why don't you take me to the police — would that make you feel better?!"""
text39572;"""Kagome got predictably mad."""
text39573;"""I said <i>\""we\""</i>, not <i>\""you\""</i>. Maybe I kidnapped her, but now I have amnesia and don't remember."""
text39574;"""I don't know about amnesia, but you definitely have amentia!"""
text39575;"""She prepared leave, then suddenly stopped."""
text39576;"""Right, I need to go to the police station after school. I'm telling you now so you won't complain about my absence later."""
text39577;"""What for?"""
text39578;"""She frowned."""
text39579;"""For my restaurant. My restaurant burned down — remember? The world doesn't revolve around your Kobayashi!"""
text39580;"""Why around <i>my</i>…"""
text39581;"""But Kagome wasn't listening and quickly walked in the direction of our classroom."""
text39582;"""Every long fall is inevitably followed by a rise."""
text39583;"""But had we reached the lowest point on our graph?"""
text39584;"""…"""
text39585;"""I was walking home, constantly looking around, but noticed no one following me."""
text39586;"""Did Kobayashi Jun also believe that children were to blame?"""
text39587;"""\""Children\"" — I smirked inside."""
text39588;"""But what else would I call them?"""
text39589;"""Teenagers? <w>Well, that didn't change much."""
text39590;"""Children can be far more cruel than adults — because they can't distinguish between good and evil."""
text39591;"""When they were children, did anyone bother to explain to Kawashima and co how they were supposed to behave?"""
text39592;"""But the matter with Ellie was still unresolved — I could imagine them kidnapping Kagome, but it didn't appear like they had had any problems with their leader."""
text39593;"""Moriyuki-san was watching a meaningless TV show and was happy to see me back."""
text39594;"""Good afternoon, Niko-kun."""
text39595;"""Kagome went to the police after school. Did you know about that?"""
text39596;"""Maybe. I can't remember."""
text39597;"""Alright."""
text39598;"""I had to make lunch, but as soon as I opened the fridge, the doorbell rang."""
text39599;"""According to chaos theory, anyone could be standing at my doorstep — from Himitsu to the prime minister of Japan."""
text39600;"""But it was <i>just</i> Irina."""
text39601;"""Nikolai! So good to find you home."""
text39602;"""First, you knew perfectly well that I was home. Second, isn't it dangerous to show up at my front door in the middle of the day?"""
text39603;"""Don't worry — you aren't under surveillance anymore."""
text39604;"""Thank God!"""
text39605;"""I said with irony, but this piece of news did bring me significant relief."""
text39606;"""Will you invite me in?"""
text39607;"""If I'm not being watched, we can talk outside."""
text39608;"""I turned around and looked at the hall."""
text39609;"""Moriyuki-san is at home."""
text39610;"""Oh, but we already know each other!"""
text39611;"""Irina exclaimed cheerfully."""
text39612;"""And yet…"""
text39613;"""As you wish."""
text39614;"""She frowned."""
text39615;"""We walked to the road, I leaned against the fence and crossed my arms over my chest."""
text39616;"""You must have already heard that the police detained several students from your school."""
text39617;"""I have. Do you believe me now?"""
text39618;"""Hm, how would I put it…"""
text39619;"""She sniffed and looked around."""
text39620;"""I'd never noticed how cozy your neighborhood is."""
text39621;"""Well?"""
text39622;"""Irina thought for a moment then finally replied in a serious tone:"""
text39623;"""I don't know what kind of relationship you have at school, but those kids are just kids. They wouldn't be able to kidnap Kobayashi Ellie while her guards were watching."""
text39624;"""And we have no information that any kind of, let's say, <i>clash</i> took place."""
text39625;"""So you don't believe they're involved either?"""
text39626;"""<i>Either</i>?"""
text39627;"""A school friend was doubting that, too."""
text39628;"""A <i>friend</i>, huh?"""
text39629;"""Is that all?"""
text39630;"""Nikolai, it feels like you're interrogating me!"""
text39631;"""She wrapped her arms around herself and pretended to shy away from me."""
text39632;"""You also shouldn't forget that most of the kids that go to your school aren't from normal families."""
text39633;"""If you want my opinion, I think they were framed."""
text39634;"""By who?"""
text39635;"""Ah ah ah!"""
text39636;"""Irina waved her finger in front of my face."""
text39637;"""I don't have all the answers."""
text39638;"""But you at least don't suspect me any more, right?"""
text39639;"""You can \""suspect\"" a criminal. If you really had been the one who kidnapped Kobayashi Ellie, you'd be a hero to us."""
text39640;"""I see."""
text39641;"""In any case, it seems like it must have been someone <i>outside the system</i>. And if you know anyone like that, I'd suggest you take a very close look at them."""
text39642;"""Why does it sound like you're hinting at someone in particular?"""
text39643;"""And who would that be?"""
text39644;"""Say, Iwamura."""
text39645;"""Irina took a couple steps away from me."""
text39646;"""Even if I wanted it to be your friend…"""
text39647;"""And why would you?"""
text39648;"""Because then we'd know the whereabouts of Kobayashi Ellie."""
text39649;"""Do you want to know that?"""
text39650;"""Well, we can't abandon a poor girl in trouble!"""
text39651;"""Yeah, sure!"""
text39652;"""I repeat: even if I wanted it to be your friend, I don't believe she'd be able to pull it off."""
text39653;"""You just don't know Kagome."""
text39654;"""I smirked."""
text39655;"""Do you want to tell me something important about her?"""
text39656;"""She squinted cunningly."""
text39657;"""No, nothing really."""
text39658;"""Hmm, fine then."""
text39659;"""Irina looked at her watch and moved a strand of hair away from her face."""
text39660;"""We'll keep in touch, don't disappear."""
text39661;"""Where would I, anyway…"""
text39662;"""I grumbled after she'd left."""
text39663;"""…"""
text39664;"""Kagome returned from her visit with the police in the evening."""
text39665;"""Moriyuki-san was sleeping, while I sat in the kitchen, pointlessly flipping through the pages of a book, unable to comprehend any of the words in it."""
text39666;"""It's as quiet as a graveyard in here."""
text39667;"""Kagome said in surprise when she walked into the kitchen."""
text39668;"""I was waiting for you."""
text39669;"""Well, here I am."""
text39670;"""Kagome didn't look to be in too good of a mood."""
text39671;"""Nobody's thought about dinner yet, I assume?"""
text39672;"""I was waiting for you."""
text39673;"""I repeated in the same gloomy tone."""
text39674;"""Niko-san, I told you I'd go to the police."""
text39675;"""And how did it go?"""
text39676;"""Nothing definitive yet."""
text39677;"""What, nothing at all?"""
text39678;"""Well, they believe it was arson. No one in the neighborhood provided any useful information — no one saw or heard anything."""
text39679;"""I see."""
text39680;"""I felt strangely upset at her but couldn't quite grasp the reason why."""
text39681;"""But I still had to tell her about Irina."""
text39682;"""That woman from the KGB came today. She said we're no longer under surveillance."""
text39683;"""That's great news!"""
text39684;"""I continued, ignoring her enthusiasm:"""
text39685;"""But she thinks Kawashima's gang was framed."""
text39686;"""By who?"""
text39687;"""She doesn't know."""
text39688;"""Kagome looked at me carefully for a couple seconds, then walked to the fridge and began to take out ingredients to make dinner."""
text39689;"""Do you agree with her?"""
text39690;"""She's got a point — it would be stupid to ignore it."""
text39691;"""Why would you even believe that woman? Because she's your compatriot?"""
text39692;"""I could hear how annoyed she was."""
text39693;"""Apparently, Kagome really wanted to see Asakura and Kawashima behind bars."""
text39694;"""So far her information has been accurate."""
text39695;"""And what, has she told you anything particularly sensational?"""
text39696;"""Well…"""
text39697;"""I wanted to answer, but realized I couldn't think of any examples."""
text39698;"""For example, some information regarding my parents' death."""
text39699;"""I thought you already suspected something?"""
text39700;"""That's different. Are you saying that she's pretending to be a KGB major?"""
text39701;"""I laughed, but I was starting to feel a surge of strange agitation — I even had to stand up and pace around the kitchen."""
text39702;"""That's even stupider than..."""
text39703;"""Do you even have any proof she is who she says she is?"""
text39704;"""Well, she's Russian, to start with!"""
text39705;"""Do all Russians work for the KGB?"""
text39706;"""Who would she work for, then?"""
text39707;"""Kagome turned to me and smiled mysteriously."""
text39708;"""I don't know."""
text39709;"""I decided not to react."""
text39710;"""Iwamura was clearly hinting at Kobayashi Corporation."""
text39711;"""But if that was the case, this whole situation was becoming way too complicated."""
text39712;"""And not only because I was just a student, who knew nothing and posed no threat to anyone, but just in general. <w>From the ontological viewpoint, so to say."""
text39713;"""Do you know what Occam's razor is?"""
text39714;"""No, but I think you're about to tell me."""
text39715;"""Call me when dinner is ready."""
text39716;"""I snapped at her, grabbed my book, and left for my room."""
text39717;"""The rest of the day was peaceful — I didn't want any more pointless conversations with Kagome, and we only saw each other again at dinner."""
text39718;"""They usually went to bed earlier than me, so I kept reading in bed for a while, enjoying the silence of the house that was becoming more and more rare with every day."""
text39719;"""Finally, my eyes closed, and I easily fell asleep."""
text39720;"""…"""
text39721;"""I was woken by a noise from the yard, a familiar one — it only took me a moment to realize what it was."""
text39722;"""It was the noise of the planks I'd moved aside yesterday to let Irina out to the back alley."""
text39723;"""When I came to my senses, the silence of the night grew undisturbed once again, but I knew — someone wanted to leave the house unseen."""
text39724;"""And unless Moriyuki-san was a sleep-walker, it could only be…"""
text39725;"""I jumped out of bed, quickly got dressed, and chased after Kagome."""
text39726;"""If I'd been a minute late, she would have disappeared into the endless labyrinth of alley under the cover of darkness, but I got lucky."""
text39727;"""I saw her silhouette a few dozen meters ahead, and hid behind a light post."""
text39728;"""She was holding a bag."""
text39729;"""Wherever Iwamura was headed, she walked quickly and confidently."""
text39730;"""I tried desperately to remain unseen, so I had no time to wonder where Kagome was going exactly."""
text39731;"""We continued like that until we reached the station, where she stopped and looked around, but I managed to hide in the shadow of some trees."""
text39732;"""Then Kagome passed the turnstiles and walked up onto the platform."""
text39733;"""There were still trains going that late?"""
text39734;"""I didn't have my wallet on me, but the ticket inspector was peacefully sleeping at his post, so I managed to jump over the turnstile unnoticed."""
text39735;"""Soon enough, a completely empty train did in fact arrive."""
text39736;"""Maybe it was some kind of overnight service to the depot?"""
text39737;"""The trip took a while, I sat took one car away from Kagome, lying down on a seat in an uncomfortable position to make sure I couldn't be seen."""
text39738;"""She spent the entire time sitting motionless, tensely staring out somewhere in front of her."""
text39739;"""Then, finally, at one of the stations, close to the outskirts, Kagome abruptly got up and left the carriage — so quickly that I barely managed to jump out of mine."""
text39740;"""…"""
text39741;"""We were in a seaside district built up with warehouses."""
text39742;"""Kagome walked forward, confidently making her way through the eerie gloom and the endless rows of identical-looking buildings."""
text39743;"""I was getting more and more uneasy by the minute — not even because I was in an unfamiliar place in the middle of the night, but because the girl I was following didn't seem to be afraid of anything at all."""
text39744;"""Not everyone would want to unwittingly spy on a maniac while he satisfies his perverted desires."""
text39745;"""I don't know if I would have held out another half hour in this desolate place, but Kagome finally turned off toward one of the warehouses, which looked exactly like all the others."""
text39746;"""How could she tell them apart?"""
text39747;"""She slid a door open and walked inside."""
text39748;"""I realized there was no way back and that I had to follow her."""
text39749;"""Deep inside, I already knew what I'd find there, I just didn't want to put this knowledge in the form of a complete thought."""
text39750;"""A person's self-deception peaks when they learn to ignore the things quite literally right in front of them."""
text39751;"""If you exclude all that is impossible, what remains is true."""
text39752;"""I understood how dangerous it was to look for correlation everywhere and use it to substitute cause and effect."""
text39753;"""The rise in the average temperature of September might coincide with the rise in the central bank's key interest rate, but that doesn't mean global warming will cause inflation to fall."""
text39754;"""Kagome sneaks out of the house at night while everyone is asleep and goes to the outskirts of the city to sneak into some warehouse?"""
text39755;"""Maybe this did impact the inflation rate, but..."""
text39756;"""Inside the warehouse I found Ellie, tied up with Iwamura standing over her."""
text39757;"""So it was you after all!"""
text39758;"""Ellie raised her head and blindly stared into the darkness."""
text39759;"""Nick…? Nick, is that you…?"""
text39760;"""And then, in a louder voice:"""
text39761;"""Nick, help!"""
text39762;"""I came closer and froze, feeling unable to approach Kagome."""
text39763;"""That girl was looking at me and… <w>grinning!"""
text39764;"""Welcome, Niko-san!"""
text39765;"""…"""
text39766;"""I'd have to be blind not to notice you <i>tailing</i> me."""
text39767;"""So you knew?"""
text39768;"""I exhaled."""
text39769;"""Of course. It'd be stupid to live with you in the same house and hope you wouldn't notice me disappearing at night."""
text39770;"""And we better sort this out now, on my terms."""
text39771;"""Nick! Don't listen to her! She's crazy! Untie me!"""
text39772;"""I took a step forward and stopped."""
text39773;"""Kagome was hovering over Ellie like Cerberus, refusing to let her return to the world of the living."""
text39774;"""Nick, hurry!"""
text39775;"""What's the matter, Niko-san? Won't you save your princess?"""
text39776;"""I guess <i>any normal person</i> in my shoes would've rushed to Ellie, pushed Kagome away, rescued the heir to Kobayashi Corporation, and received a well-deserved award."""
text39777;"""Except that the <i>person in my shoes</i> turned out to be me, and I had no one to ask for help."""
text39778;"""Why did you do it?"""
text39779;"""I asked the kidnapper."""
text39780;"""Why, Niko-san? Do you really not understand?"""
text39781;"""She frowned."""
text39782;"""How else can I make <i>them</i> release my father?"""
text39783;"""Even if they would, do you think you'll just get away with it?"""
text39784;"""I don't think I have much of a choice."""
text39785;"""Nick, please…"""
text39786;"""I heard the notes of desperation in Ellie's voice."""
text39787;"""I realized I had to make a decision. <w>The sooner, the better."""
text39788;"""But, Niko-san, please understand that if you let her go now, we're both doomed."""
text39789;"""Kagome said impassively."""
text39790;"""Nick, I promise I won't tell a soul about you."""
text39791;"""What about her?"""
text39792;"""I blurted out."""
text39793;"""That bitch has to be punished!"""
text39794;"""You see, Niko-san. And you'd take her word for it?"""
text39795;"""At the moment, I was more concerned about Kagome than my own safety."""
text39796;"""Yes, her actions were hard to justify, but I didn't even want to imagine what I'd do if I were in her shoes."""
