text40290;"""I was always annoyed by my hesitation in deciding whether I wanted to continue sleeping or get up."""
text40291;"""I woke up too early, especially after the previous night, but immediately felt my brain switch into waking mode."""
text40292;"""If only people could consciously switch themselves off to rest… <w>Dreams, dreams."""
text40293;"""But, after lying in bed for at least an hour, unable to decide whether to get up or not, I eventually fell asleep."""
text40294;"""And in my dream, I got into a real epic novel with a complicated storyline, a detailed world and backstory, a plethora of characters, each with a unique and complicated personality."""
text40295;"""Yet this entertaining spectacle was still rudely interrupted by Kagome's call:"""
text40296;"""Niko-san, it's time to get up!"""
text40297;"""And of course, my memory retained only pathetic shreds of the story, apart from the fact that the dream had existed at all."""
text40298;"""Niko-san?"""
text40299;"""It's surprising how the same action can cause a very different reactions depending on the situation."""
text40300;"""I often grumbled at Himitsu for waking me up, but deep inside I was glad about it."""
text40301;"""Meanwhile, Kagome's wake-ups irritated me more and more with each day."""
text40302;"""Why the fuck you are you even talking about school after what happened yesterday?!"""
text40303;"""In truth I was mostly annoyed that I'd been deprived of a continuation to that wonderful story."""
text40304;"""If only I could remember what it was about…"""
text40305;"""So you aren't going?"""
text40306;"""When she put it <i>that way</i>, it was hard to argue with her."""
text40307;"""Give me a minute to get dressed."""
text40308;"""Maybe just a minute."""
text40309;"""Kagome smiled and walked out of the room."""
text40310;"""…"""
text40311;"""There was no time for breakfast, but my body wasn't awake enough to eat anyway."""
text40312;"""We walked down the familiar path to our school, while I tried to process what had happened last night."""
text40313;"""People are a mix of good and bad qualities, but under difficult circumstances, most wouldn't choose to be heroes."""
text40314;"""In line with that, I'd taken what seemed to be the coward's choice — agreeing with Kagome's mediocre arguments."""
text40315;"""At this point any excuses I could come up with wouldn't be any better than a drunk driver's after hitting a pedestrian."""
text40316;"""So what do we do next?"""
text40317;"""I finally asked, feeling like I was falling asleep on my feet."""
text40318;"""With what, Niko-san?"""
text40319;"""You know what I mean."""
text40320;"""With Kobayashi?"""
text40321;"""Yes, with Kobayashi."""
text40322;"""She responded without slowing down:"""
text40323;"""We'll leave a note with our demands. Like it says in the first."""
text40324;"""They didn't expect the first not, but this time they're definitely going to be on high alert."""
text40325;"""Yes, which is why you'll have to be the one to leave it."""
text40326;"""Kagome looked at me and smiled."""
text40327;"""Oh yeah, of course…"""
