text30152;"""I woke up with a heavy head, feeling like I'd been on a drinking spree."""
text30153;"""But the physical condition matters so little…"""
text30154;"""I was always more occupied by <i>global</i> issues, hardly ever thinking in terms of days or weeks."""
text30155;"""But now, when all I had left was a couple thousand yen, I had to learn how to live for the present again."""
text30156;"""I washed myself, made breakfast, ate it, washed the dishes, and started thinking, perceiving the Saturday silence in my house somehow anew."""
text30157;"""Maybe I could sell it?"""
text30158;"""But I didn't even know who it was registered to… <w>It was unlikely I was listed as a proprietor."""
text30159;"""They say Russians are wise in hindsight — and indeed, the longer I thought, the more I started to understand."""
text30160;"""Answers came from nowhere, giving birth again to questions I had been waving off before."""
text30161;"""How could I have been be so naive?!"""
text30162;"""Sure, I could drop out of school, find a job."""
text30163;"""I would most likely have enough money to survive."""
text30164;"""But would it really be a life? <w>Would it be what my parents had wanted for me?"""
text30165;"""Parents…"""
text30166;"""After all, I had other relatives!"""
text30167;"""I dashed to the hall and started feverishly flipping through the pages of the phone book."""
text30168;"""Here it was, my grandparents' telephone number in the USSR!"""
text30169;"""During the funeral, they kept asking for me to come back with them, but at the time I couldn't even imagine how I could abandon everything here and go to a country I only remembered as a drawing in a children's book."""
text30170;"""The unfamiliar dialtone of <note=note97>an international call</note>… <w>I wondered what time it was there."""
text30171;"""Then familiar repeating beeps."""
text30172;"""Maybe I dialled the number wrong?"""
text30173;"""However, the same thing happened the second and third times."""
text30174;"""What was I doing wrong?"""
text30175;"""I definitely used to talk to them using this exact phone number!"""
text30176;"""After a few more unsuccessful attempts, the feeling of powerlessness became unbearable."""
text30177;"""I immediately remembered my thoughts the day before. <w>Thoughts about Himitsu."""
text30178;"""Would I really have to let her go forever, fly thousands of kilometres away without any hope of seeing her again?"""
text30179;"""But that would be better for everyone… <w>That would be better for her."""
text30180;"""True love is first and foremost about caring for the happiness of the person you love."""
text30181;"""And that new feeling of mine would mean nothing if I was willing to put my desires above her safety."""
text30182;"""Himitsu would be better off without me!"""
text30183;"""My phone, having persistently ignored all my attempts to connect to the USSR, suddenly rang by itself."""
text30184;"""Hello."""
text30185;"""After a pause, I decided to take the call."""
text30186;"""Shino-san has ordered delivery to the same address."""
text30187;"""A stranger's voice told me from the other end."""
text30188;"""You… got the wrong number."""
text30189;"""I barely managed to reply."""
text30190;"""So that's where Ichinose disappeared when I needed him!"""
text30191;"""I didn't even find it suspicious that the call came during the day — I quickly got dressed and ran outside."""
text30192;"""Ryunosuke-san had made it clear Japanese intelligence were no longer interested in me, but, unfortunately, they weren't the only ones I had to worry about."""
text30193;"""So I couldn't abandon caution!"""
text30194;"""I wondered around for about an hour, trying to lose any possible tails."""
text30195;"""Finally, I took a train to the waterfront. <w>I didn't notice anyone following me."""
text30196;"""The day was unusually warm considering it was the end of September, hot sea air reminding me of summer."""
text30197;"""A salty breeze blew from the ocean, and I squinted, exposing my face to the rays of the scorching sun."""
text30198;"""You're punctual."""
text30199;"""A familiar voice brought me to my senses. I opened my eyes and saw Irina."""
text30200;"""We were the ones who called you."""
text30201;"""Ichinose…"""
text30202;"""I didn't finish the sentence."""
text30203;"""His fate is the last thing you should be concerned about right now!"""
text30204;"""So that's how you take care of your compatriots!"""
text30205;"""Let's take a walk."""
text30206;"""Irina took me by the arm and dragged me deeper into the fishing district, further from the train station."""
text30207;"""…"""
text30208;"""Shall I remind you that you're still a citizen of the USSR ?"""
text30209;"""I don't care about your sophistry!"""
text30210;"""What clever words! Don't forget that you were born in <i>that</i> country!"""
text30211;"""So what?"""
text30212;"""She showed no reaction to my rudeness."""
text30213;"""So why am I here?"""
text30214;"""I thought I made myself clear when I said that you should behave as usual? That you should lay low? Initiative is punishable, as our saying goes."""
text30215;"""It's quite hard to <i>lay low</i> and try to find something on Ito at the same time…"""
text30216;"""So you found something?"""
text30217;"""Let's say I did."""
text30218;"""I was improvizing, diving head-first into this world of spies, the rules of which I knew nothing about."""
text30219;"""I wasn't scared — in the first place because I simply didn't fully grasp what my words could lead to."""
text30220;"""Besides, impromptus were usually my strength — maybe due some kind of innate intuition."""
text30221;"""I had nothing to lose or risk except for my life — and that was giving me extra confidence."""
text30222;"""In this case, my friend, would you bother to explain why the Japanese have lost interest in you so suddenly?"""
text30223;"""And why Ito took his daughter away from Tokyo?"""
text30224;"""Because they think I know nothing. And that really is the case! But before that, I had some time to poke around Himitsu's house."""
text30225;"""And?"""
text30226;"""Irina was glaring a hole straight through me."""
text30227;"""Where are my guarantees?"""
text30228;"""What kind of guarantees do you want? I don't even know what you've found there."""
text30229;"""Something that might interest you."""
text30230;"""She took her time to reply, clearly thinking of all possible options."""
text30231;"""I'm listening."""
text30232;"""Firstly, you will guarantee Himitsu's safety. And Ito's, subsequently."""
text30233;"""Irina kept staring at me, not a single muscle twitching on her focused face, so it took quite an effort not to stutter."""
text30234;"""Next, I want to return to the USSR. There's nothing keeping me here anymore."""
text30235;"""Is that all?"""
text30236;"""She finally said, having realized I was done."""
text30237;"""Yes."""
text30238;"""I can't make decisions like that on my own, especially without having seen the documents."""
text30239;"""You'll have to take my word on this. Otherwise, you'll never get a chance to see them."""
text30240;"""You're clever. Although I knew right away you were capable of something like this."""
text30241;"""Any means are good enough to save your own life."""
text30242;"""Fine. So what do you imagine from here?"""
text30243;"""That was something I hadn't given much thought."""
text30244;"""Err… Let's say I will give you the documents at the plane ladder."""
