text30442;"""Morning in the countryside and morning in stuffy Tokyo are totally different."""
text30443;"""It had been so long since I was last out in nature, waking with the sunrise, the cool wind, and the singing of birds."""
text30444;"""It had been so long since the morning sun caressed my face with its welcoming rays — it didn't feel like my musty bedroom at all."""
text30445;"""It felt like I was ready to move mountains, but the whole idyll was disturbed by someone's voice insistently demanding my attention."""
text30446;"""And it wasn't Himitsu's…"""
text30447;"""I wanted to keep my eyes closed, to retain that pleasant feeling of morning half-sleep."""
text30448;"""Then my world started shaking. <w>More and more."""
text30449;"""And the voice kept calling me more and more inisistently."""
text30450;"""Nikolai."""
text30451;"""Ryunosuke-san was standing over me, shaking me by the shoulders."""
text30452;"""He wasn't even trying to conceal the irritation on his normally emotionless face."""
text30453;"""Awake? Finally!"""
text30454;"""What… What do you want...?"""
text30455;"""My conciousness had no desire to return from the land of dreams."""
text30456;"""Himitsu's father took a step back."""
text30457;"""Nikolai, for some reason, you don't take in what you're told at all. Are you seriously this bent on self destruction?"""
text30458;"""I got up all in one motion, my vision blacking out for a moment."""
text30459;"""I thought I clearly told you that you and my daughter are done."""
text30460;"""But no… First I had to take her away from Tokyo, so now you're hunting her down here, is that it?"""
text30461;"""I guess it is."""
text30462;"""I have a short reply."""
text30463;"""So what should I do with you?"""
text30464;"""He threw his arms up in the air so casually it seemed we were talking about a naughty puppy, not my life."""
text30465;"""His profession clearly required some acting skills, but in my opinion Ryunosuke-san tended to go a bit overboard."""
text30466;"""Keeping quiet now? You should've thought of that before!"""
text30467;"""Ryunosuke-san, what's this all for? I'm here, and so are you. And so is Himitsu…"""
text30468;"""Have you ever asked her what <i>she</i> wants? Have you ever wondered what her wishes and feelings are?"""
text30469;"""You pretend that you're protecting her… No! You believe it! You really believe you're doing it all for her own good!"""
text30470;"""But ask Himitsu, does she agree with your decisions? Is she happy with her future?"""
text30471;"""It's not only about me, after all!"""
text30472;"""When she's got so little left of school… She just had to drop everything — her friends, her old house where she had been living her entire life…"""
text30473;"""Is <i>that</i> really what's best for her? She's not a little child anymore!"""
text30474;"""Are you done?"""
text30475;"""Ryunosuke-san asked coldly."""
text30476;"""Not a single muscle twitched on his face."""
text30477;"""Nikolai, you don't know what life is. I have already told you that I feel sorry about your situation, but there's nothing to be done about it now."""
text30478;"""All your words and actions are just a display of youthful idealism."""
text30479;"""How do you imagine the future of the son of Soviet spies, and the daughter of a Japanese intelligence agent?<seq ryu_serious> Of a gaijin and a Japanese…"""
text30480;"""But Himitsu is only half-Japanese."""
text30481;"""Annoyance flashed across his face,<seq ryu_normal> but only for a moment."""
text30482;"""Ryunosuke-san clearly didn't like to discuss his ex-wife."""
text30483;"""I wondered how the fact that she was Russian was connected to his work spying on Russian immigrants."""
text30484;"""What was the cause and what was the effect...?"""
text30485;"""You leave me no choice."""
text30486;"""So what, you're going to just shoot me?"""
text30487;"""That thought, and most importantly the thought that my life might end here and now, took my breath away."""
text30488;"""Well, then you should know that Himitsu saw me last night!"""
text30489;"""And that…"""
text30490;"""She'll never forgive you for it!"""
text30491;"""Ryunosuke-san closed his eyes and sighed heavily."""
text30492;"""Don't make things even more complicated, Nikolai. You knew how it would end when you decided to come here."""
text30493;"""I didn't know anything like that!"""
text30494;"""And I really hadn't been thinking about anything of the sort!"""
text30495;"""Children shouldn't be responsible for their father's sins! Neither me nor Himitsu!"""
text30496;"""Nothing but empty words. Life isn't a TV show, and you aren't its protagonist."""
text30497;"""You still think I suspect you of something…"""
text30498;"""He smirked and walked back and forth through the hotel room, as if studying it and wondering about staying."""
text30499;"""He approached the window and looked outside, paused there for a few seconds and nodded to someone downstairs."""
text30500;"""That cold, calculated approach is how he was with everything, starting with the choice of furniture in a room and ending with human lives."""
text30501;"""Had that been the case, at the very minimum I wouldn't be talking to you here and now."""
text30502;"""People get into bad situations on accident, unfortunate things happen in their lives — also on accident."""
text30503;"""And it's nobody's fault. You can't fix it. You just need to live on, move on."""
text30504;"""But you don't want to — you just stand pat and create problems for others."""
text30505;"""And that's unacceptable! Those are accidents, understand? A sequence of events that happened by themselves, and that nobody is responsible for."""
text30506;"""Meanwhile, you're trying to blame me, Kobayashi Corporation, Japan — everyone around you. And by doing so, you're causing problems for everybody, including yourself."""
text30507;"""We can't allow this to continue…"""
text30508;"""You think I came here, to the middle of nowhere, to investigate my parents' murder?!"""
text30509;"""True hatred for this person started to boil up inside me."""
text30510;"""Here you go again — \""murder\""…"""
text30511;"""I only came here for Himitsu!"""
text30512;"""I interrupted him."""
text30513;"""Even if for the last time… I want to hear it from her!"""
text30514;"""I will not allow you to see Himitsu."""
text30515;"""He said firmly."""
text30516;"""I started to think of my options."""
text30517;"""Of course, Ryunosuke-san was over fifty, but he was still a trained agent, and who was I?"""
text30518;"""Besides, he most likely had a gun."""
text30519;"""Therefore, trying to run wasn't an option, at least not now."""
text30520;"""You've already caused us enough problems, Nikolai… Let's go."""
text30521;"""He pointed to the door."""
text30522;"""Go where?"""
text30523;"""For God's sake, would you stop?!"""
text30524;"""There was steel in his voice, and I lost any desire to argue."""
text30525;"""While we were going down the stairs, I couldn't stop thinking about Himitsu's anguished expression when she was looking out the window of her grandma's house."""
text30526;"""No, it wasn't a sign of despair — she looked more like a princess who wanted to be rescued!"""
text30527;"""We walked out to the street."""
text30528;"""A black Toyota was waiting in front of the hotel."""
text30529;"""The brute in the driver's seat stared at me unblinkingly."""
text30530;"""Meanwhile, the town had already awoken."""
text30531;"""People went to bed early here but woke up just as early."""
text30532;"""Smiling old women were walking the streets, smiling old men were opening their shops, and sleepy tourists were crawling out of their hotels."""
text30533;"""Perhaps I wouldn't win in a fight with Ryunosuke-san — but there was no way he'd start shooting here and now!"""
text30534;"""And I was quite confident in my sprinting ability."""
text30535;"""I'm sorry, Ryunosuke-san…"""
text30536;"""He looked at me, confused."""
text30537;"""Let's finish this conversation another time!"""
text30538;"""I broke into a run."""
text30539;"""The wind was whipping against my face, my lungs burned from the freezing morning air, the unfamiliar voice demanding I stop was becoming quieter and quieter."""
text30540;"""I didn't dare look back, couldn't even think about it."""
text30541;"""The sound of the car engine was getting closer — I made a turn into a narrow alley between houses."""
text30542;"""They wouldn't shoot me in the back in broad daylight, after all."""
text30543;"""A resort town isn't the best place to chase your target by car. It seemed that Ryunosuke-san and his henchmen had realized that too — the sound of the car engine and the screeching of tires disappeared completely."""
text30544;"""I ran out onto the main street and quickly looked around — everything seemed to be fine."""
text30545;"""I caught my breath and quickly thought over what I would do now."""
text30546;"""Since they couldn't catch me, they would first try to block all my escape routes."""
text30547;"""Which at minimum were the railway station and the hotel I could've returned to."""
text30548;"""But I wouldn't give Ryunosuke-san the satisfaction!"""
text30549;"""The target was clear, and so was the route. I had to talk to Himitsu no matter what!"""
text30550;"""Even if it was the last thing I did in my life!"""
text30551;"""What could a normal person say about running? <w>Most likely that aerobic exercise is good for the cardiovascular system."""
text30552;"""But, if you think about it, that's a very shallow and incomplete conclusion."""
text30553;"""I was never particularly sporty, but at the same time I had no extra fat on me, didn't smoke, and occasionally played football."""
text30554;"""Running a few kilometres to Himitsu's grandma's house? <w>Easy!"""
text30555;"""Of course, it was foolish to try and outrun a car — if Ryunosuke-san went there immediately, I had no chance."""
text30556;"""After a few minutes, I slowed down a bit — it was impossible to cover the entire distance at this pace."""
text30557;"""After catching my breath, I fell into a rhythm and was running effortlessly: a push of my leg — and it felt as if I was soaring up a few metres and then down to earth, bouncing softly, just to go up again."""
text30558;"""It's hard to run and think at the same time."""
text30559;"""I wasn't even trying — everything was clear anyway."""
text30560;"""My way lay across the little hill, and down below I could see green fields separated by a thin scar of railway."""
text30561;"""A train was slowly going the direction of Tokyo, working its way around the mountain that loomed over the landscape like a silent guardian."""
text30562;"""I was running forward, while the train was heading in the opposite direction."""
text30563;"""I wondered if that ill-mannered girl was inside, returning home."""
text30564;"""The road led to the forest, though I barely could call <i>that</i> a road — it was more like a narrow path snaking among the trees."""
text30565;"""What if this was that suicide forest...?"""
text30566;"""I looked around as I ran, but noticed nothing unusual — there were no dead bodies, ghosts, or even wild animals."""
text30567;"""Then I quickened my pace and soon ran across a wooden bridge."""
text30568;"""The planks under my feet strained and squeaked like an old man scolding children."""
text30569;"""A bird's cry came from behind me, like a scream of despair."""
text30570;"""I tripped over a tree root and fell to the ground, seriously bruising my palms."""
text30571;"""But that only stopped me for a couple of seconds — and there I was again, running onward through the strange forest."""
text30572;"""As if I were making my way through all the obstacles of life, leaving behind so many things that had been holding me back."""
text30573;"""The sun's rays were penetrating the dense canopy of trees, I was sweating, and my sweat was rolling into my eyes — salty, nasty, burning."""
text30574;"""I had to wipe them constantly and was blinking so often that it felt like I was in a film by brothers Lumiere, going sixteen frames per second."""
text30575;"""After some time my heart started making itself known — its beats becoming clearer and more frequent."""
text30576;"""Every beat echoed in my head, blood pulsating in my temples, ears popping, and I had to swallow nervously, which wasn't easy as my mouth was absolutely dry."""
text30577;"""Finally, I saw a gap between the trees and dashed toward the small, at least a-couple-centuries-old house."""
text30578;"""I was near!"""
text30579;"""The plots of land were situated next to each other without any system or plan – bigger, smaller, triangular, square, rectangular."""
text30580;"""Some lacked any buildings at all, while others just had shacks built on them, and others more had decent houses."""
text30581;"""But, in general, there were no wealthy peasants in this village."""
text30582;"""\""No <note=note106>kulaks</note> to dispossess, at least!\"" — I sniffed, immediately starting to lose my breath."""
text30583;"""I felt more respect for Ryunosuke Ito for making his way up in the world from here."""
text30584;"""Usually great figures come from the lowest social classes — genius never makes it to the second generation."""
text30585;"""Having experienced their share of loss and suffering, they often project their distorted sense of justice onto their people."""
text30586;"""There are many such examples in history, and not just Russia's history."""
text30587;"""I was running on the compacted clay that served in place of asphalt here, <i>paper</i> shacks passing before my eyes."""
text30588;"""A seemingly hundred-year-old woman brandished a broom at me and shouted something."""
text30589;"""Who even runs in the middle of the day!"""
text30590;"""I was too tired to react in any way — there were about a hundred metres left to Himitsu's house."""
text30591;"""A last dash — and I saw the familiar roof around the corner."""
text30592;"""It happens often: you only remember separate details out of the whole picture, and those details look like different colored pieces in a puzzle with a thousand pieces."""
text30593;"""All the roofs in this village were more or less the same, all the houses were more or less the same height, but I instantly recognized the one I was looking for."""
text30594;"""After running into the yard, I doubled over with my hands on my knees."""
text30595;"""The air was hissing out of my open mouth."""
text30596;"""Here I was!"""
text30597;"""Ryunosuke-san's car was nowhere to be seen."""
text30598;"""I tried to take a step forward but couldn't even raise my leg — it seemed to be made of stone, rooted to the ground."""
text30599;"""I hit my knees a few times and slowly wobbled to the door."""
text30600;"""Please be home! Just be home!"""
text30601;"""I was whispering."""
text30602;"""I need just a minute… No, even half a minute! Five seconds! Five seconds would be enough to tell you everything!"""
text30603;"""Please, just be home..."""
text30604;"""I thought I heard the sound of a car somewhere in the distance, but the next second everything was again filled with the normal sounds of a village: the cries of cattle and poultry, the cracking of firewood, the grating of a saw, and the knocking of hammers."""
text30605;"""It felt like I didn't belong here — first in this typical Japanese countryside and then in Japan altogether."""
text30606;"""I couldn't imagine how I could live <i>like this</i>… <w>even with Himitsu."""
text30607;"""It absolutely wasn't my thing!"""
text30608;"""I immediately wanted to return to Tokyo with its crazy speed of life and pulse of two hundred beats a minute."""
text30609;"""That's where my heart was supposed to beat so quickly! <w>Not here — at the front door of the house where multiple generations of Ito's family had been raised."""
text30610;"""I knocked."""
text30611;"""I had to wait for too long, or, maybe, the time was passing too slowly."""
text30612;"""Finally, I heard those same steps behind the door — as if someone was dragging something heavy along the floor."""
text30613;"""The door moved aside, and Himitsu's grandmother appeared from behind it."""
text30614;"""Niko-kun...?"""
text30615;"""She was clearly not happy to see me and wasn't even trying to hide it."""
text30616;"""I need to talk to Himitsu!"""
text30617;"""I said firmly."""
text30618;"""It was a good thing I had managed to catch my breath."""
text30619;"""Ryunosuke told me not to…"""
text30620;"""She replied after a pause."""
text30621;"""Sympathy and seemingly understanding reflected on her wrinkled face — apparently, she decided that it made no sense to pretend any further."""
text30622;"""It's very important! Both for her and me!"""
text30623;"""Fine."""
text30624;"""Grandma finally agreed and stepped aside."""
text30625;"""I ran inside and shouted:"""
text30626;"""Himitsu!"""
text30627;"""How many years had passed since I last came here?"""
text30628;"""But the house looked exactly like in my childhood memories."""
text30629;"""Himitsu peeked out of the next room."""
text30630;"""Niko-kun?"""
text30631;"""I… I…"""
text30632;"""And, as luck would have it, I couldn't find the right words at the most important moment — moreover, I couldn't say anything articulate at all."""
text30633;"""Niko-kun, why are you here?"""
text30634;"""She took a few steps towards me but stopped, as if hesitating."""
text30635;"""Yesterday… I thought you understood."""
text30636;"""We have nothing to talk about."""
text30637;"""Then just listen to me."""
text30638;"""I pulled myself together."""
text30639;"""I love you! I realized it way too late, but I want you to know it!"""
text30640;"""I know that there's no forgiveness for what I've done… I understand that you've tolerated a lot from me for a long time, and I'm grateful for that!"""
text30641;"""I'll accept any answer — your happiness is what matters the most to me."""
text30642;"""Himitsu was standing and staring, unblinkingly, as if through me."""
text30643;"""You'd said before that you loved me..."""
text30644;"""And then you went back to your Katya!"""
text30645;"""No, I didn't go back to anyone! It was a misunderstanding!"""
text30646;"""Maybe I was telling the truth, but I knew that she had heard so many lies that sounded just like this that it was unlikely she'd believe it."""
text30647;"""Catherine has nothing to do with all this! I understand what it looks like, but I'm not lying!"""
text30648;"""Of course… I should've dealt with her as soon as she returned."""
text30649;"""And I'm sorry about that, too!"""
text30650;"""I just had to talk to you before…"""
text30651;"""But mentioning Ryunosuke-san and his threats would be unfair — then Himitsu simply wouldn't have a choice."""
text30652;"""Before I leave."""
text30653;"""Forgive me if you can."""
text30654;"""Niko-kun…"""
text30655;"""She lowered her head."""
text30656;"""It's nobody's fault but mine. I ruined everything myself. I realized too late what really matters to me in life!"""
text30657;"""Niko-kun…"""
text30658;"""I didn't appreciate what was most important to me. I took it for granted, thinking it wouldn't go anywhere."""
text30659;"""And most importantly… It was something I needed as much as air to breathe."""
text30660;"""I have nothing without you! And I need nothing without you!"""
text30661;"""Niko-kun…"""
text30662;"""Himitsu was crying."""
text30663;"""On instinct, I came closer to сomfort her, but froze in place — I had no right to do that now."""
text30664;"""The sound of a car engine came from the yard, then I heard voices."""
text30665;"""Maybe we'll never see each other again… Don't forget me! Remember that we had a lot of good moments, not just bad ones."""
text30666;"""And you need to know that I wasn't doing it to hurt you! I'm just… like this."""
text30667;"""And forgive me for everything…"""
text30668;"""Niko-kun…"""
text30669;"""I heard loud steps in the hall, and the next moment Ryunosuke-san burst into the room."""
text30670;"""I didn't really understand what I was doing, acting almost subconsciously."""
text30671;"""I grabbed Himitsu and kissed her."""
text30672;"""She jumpeded in surprise but didn't try to resist."""
text30673;"""Nikolai!"""
text30674;"""I heard her father's voice from somewhere at the edge of my mind."""
text30675;"""I wasn't paying attention to him – only looking into her green, wide-open eyes — there were no more tears in them."""
text30676;"""The eyes that were always the first thing I saw waking up in the morning."""
text30677;"""In an instant, all our happy moments flew before my mind's eye: from making a snowman when we were little to that ridiculous pink elephant."""
text30678;"""Yes, I had loved Himitsu my entire life, I just never understood that there also existed this kind of love — so different from the infatuation I had developed for Catherine."""
text30679;"""Finally, our lips came apart."""
text30680;"""Himitsu never responded to the kiss and lowered her head again."""
text30681;"""Well, had your tender moment? Now get out of here!"""
text30682;"""Ryunosuke-san shouted."""
text30683;"""No, dad…"""
text30684;"""Himitsu said in almost a whisper, still looking at the floor."""
text30685;"""What?"""
text30686;"""No, dad, enough!"""
text30687;"""She repeated louder."""
text30688;"""You've decided enough for me! I'm not a child anymore!"""
text30689;"""Suddenly she turned to him, clenched her little fists, flashing her eyes."""
text30690;"""I love Niko-kun! And neither you nor anyone else can change that!"""
text30691;"""You might think it's wrong, and that I'll be unhappy, but it's my choice!"""
text30692;"""Even if you think Niko-kun isn't perfect… Even if it's true… <i>I'm</i> the one who's going to live with him, not you!"""
text30693;"""I froze, forgetting to breathe."""
text30694;"""Even if you think he's done something wrong — I know for sure that Niko-kun hasn't done anything bad!"""
text30695;"""He's lived through so much… You just have no right to treat him like this! You can't treat <i>us</i> like this!"""
text30696;"""Maybe we won't be happy the way you see happiness, but we're okay with living like that."""
text30697;"""And the fact that we're together doesn't stand in the way of your job, no matter what it is you really do!"""
text30698;"""We…"""
text30699;"""Himitsu turned to me and looked at me pleadingly."""
text30700;"""We love each other!"""
text30701;"""I couldn't resist looking at Ryunosuke-san triumphantly — take that!"""
text30702;"""Of course, I shouldn't have, but that's how I was — that's what Himitsu was talking about."""
text30703;"""This is beyond all reason…"""
text30704;"""He sighed and leaned against the wall."""
text30705;"""Sorry dad, but you'll have to accept my choice."""
text30706;"""She came up right next to me and took me by the hand."""
text30707;"""Or he leaves, but he'll leave with me!"""
text30708;"""Ryunosuke-san turned pale, deep wrinkles appearing at the corners of his eyes."""
text30709;"""Do you… do you even realize what you're doing?"""
text30710;"""I do!"""
text30711;"""And you…"""
text30712;"""He looked at me, but with no anger, more like asking me for help."""
text30713;"""Fine. After all, I really can't live your life for you…"""
text30714;"""But if you two think that everything will be just as easy going forward…"""
text30715;"""Even if it won't — we'll stay together!"""
text30716;"""Dreams of youth!"""
text30717;"""Ryunosuke-san smirked."""
text30718;"""Have it your way… But we need to talk. Don't worry, I'm not going to do anything to him."""
text30719;"""He anticipated Himitsu's possible indignation."""
text30720;"""In private."""
text30721;"""It's just for a bit, everything's going to be alright."""
text30722;"""I squeezed Himitsu's hand tighter, then released it and walked to the yard with her father."""
text30723;"""You should understand what you're getting into, Nikolai."""
text30724;"""He started immediately."""
text30725;"""To be honest, I don't care about you — I'm only worried about my daughter! You may put her at risk."""
text30726;"""The problem is that I still understand nothing about what's going on!"""
text30727;"""Ryunosuke-san looked a bit upset, and I even caught what seemed to be pity in his expression."""
text30728;"""What's your relationship with the KGB?"""
text30729;"""I then remembered that I had given Irina a fat load of bullshit about the documents I was supposed to have found at Ito's place and about me knowing more than I really did."""
text30730;"""And, what was more important, I had agreed to contact them next week."""
text30731;"""Well, errr… I don't have a relationship with them. It's not that simple."""
text30732;"""Is \""simple\"" your favorite word or something? How could things possibly be any more complicated?!"""
text30733;"""He grinned suddenly, took out a cigarette case, raised his eyes to me and smiled apologetically."""
text30734;"""Can't quit smoking… <note=note107>\""Kosmos\""</note>, Soviet ones."""
text30735;"""A Japanese person with a cigarette case was something new to me. <w>Especially a case of Soviet cigarettes."""
text30736;"""He took a long pull and continued:"""
text30737;"""So, what can you tell me?"""
text30738;"""And you? Otherwise, it's a little unfair."""
text30739;"""No, it's quite fair. And right. The less you know, the less risk you pose for Himitsu if anything happens."""
