text41628;"""Still, this wasn't how I'd imagined <i>work</i>..."""
text41629;"""When we arrived in the village, it became clear almost right away that Kyosuke's money wouldn't last long."""
text41630;"""Sure, Kagome easily got a job at the only local joint, although you couldn't call it a \""restaurant\"" even compared to Gifts of the Sea."""
text41631;"""I, meanwhile, wasn't much of a cook, and all the other unskilled work in the village was taken by local kids and teenagers."""
text41632;"""Why would they need a grown-up loafer, let alone one not Japanese?"""
text41633;"""I had only one, most obvious option left — hard, menial labor."""
text41634;"""Next to the village was a coal mine that, miraculously, hadn't been depleted this far into the 20th century, and where most of the local men worked."""
text41635;"""In places like that, nobody asks for a CV, university degree, or a letter of recommendation: as long as you've got your arms and legs, aren't disabled, and can swing a pickaxe, you're welcome!"""
text41636;"""Besides, it wasn't common there to ask about the past of new miners — not everybody enjoyed talking about that subject."""
text41637;"""My colleagues were generally good people, albeit a bit quiet and gloomy."""
text41638;"""They must have been surprised that a European-looking guy had come to work in a mine out in the Japanese countryside, but nobody showed it or asked me any questions."""
text41639;"""I was fine with that, and they paid decently. Not that I was in any condition to complain """
text41640;"""Kagome and I rented a single room for two at the local hotel to cut costs."""
text41641;"""At first, I was a little embarrassed by the prospect of living together with a girl my age in a six tatami space, while she didn't seem at all bothered by the situation."""
text41642;"""She earned less than me at her place, but also worked fewer hours — sometimes, returning home after my shift, I could only fall onto my futon, exhausted."""
text41643;"""Kagome organized our everyday lives as much as it was possible considering the situation— she cooked, cleaned, washed our clothes."""
text41644;"""But it was a sensible division of responsibilities considering the difference in our income and skills, so no matter how much I tried, I couldn't exactly feel too much gratitude."""
text41645;"""I didn't socialize much with the other miners at work, except for the obligatory Japanese drinking parties."""
text41646;"""Almost all of them had families, and they preferred to spend their free time with them."""
text41647;"""Meanwhile, Kagome became instantly beloved by the local old ladies, both thanks to her cooking and politeness (mostly the obligatory kind, though)."""
text41648;"""Besides, having someone new in this village was already exciting enough."""
