text20246;"""I woke up covered in sweat, with Ellie snuffling peacefully next to me."""
text20247;"""The innocent expression on her face made the memories of us going through the whole bag of powder seem like a terrible dream."""
text20248;"""The clock was saying two-ish PM, which meant we had successfully skipped school."""
text20249;"""Well, what started as spending the night at my place has now turned to truancy."""
text20250;"""I was methodically going against everything Kobayashi Jun wanted from me, driving into the abyss with the gas pedal pressed to the floor."""
text20251;"""And scariest of all was that without me, Ellie would most likely have at least maintained the illusion of decency without tumbling into outright antisocial behavior."""
text20252;"""I carefully got up, trying not to wake her, and felt something weird — completely different from a hangover."""
text20253;"""Suddenly my body became light, my legs turned to jelly, and I lost my balance."""
text20254;"""I snagged the guitar and, letting out a displeased twang, it fell to the side."""
text20255;"""Mmm…"""
text20256;"""Ellie stretched sweetly and opened her eyes."""
text20257;"""Is it morning already?"""
text20258;"""Afternoon, two o'clock."""
text20259;"""I muttered."""
text20260;"""I was starving — the last time I'd had anything was lunch yesterday, and it'd been almost a full day since then."""
text20261;"""Do you want breakfast? I'm about to starve to death!"""
text20262;"""What day is… <seq el_shocked>Aaaah!"""
text20263;"""She immediately jumped out of the bed and started putting her clothes on."""
text20264;"""We have a rehearsal today!"""
text20265;"""Do what you want, but I'm not going anywhere until I eat."""
text20266;"""Just make it quick."""
text20267;"""She frowned, trying to button her shirt."""
text20268;"""…"""
text20269;"""The engine that usually powered the rotor of my thought process seemed to have been stopped dead by something."""
text20270;"""We were walking down the street, and I couldn't focus on a single thought."""
text20271;"""Sometimes if felt like I spent long minutes just moving my legs, step after step, on autopilot, not thinking about a thing."""
text20272;"""Ellie looked a bit better — but also quite rough."""
text20273;"""Dose every time feel like… this?"""
text20274;"""Well…"""
text20275;"""She said and stared down at her feet, as if she was walking on ice."""
text20276;"""If you knew we had a group rehearsal today, why did you…"""
text20277;"""It just happened."""
text20278;"""Oh, it <i>just happened</i>…"""
text20279;"""Under different circumstances, I'd have picked my words more carefully to avoid upsetting her but here it seemed meaningless."""
text20280;"""Just like how after a sleepless night you don't care whether your tie matches your suit."""
text20281;"""Good thing Ellie's bodyguards hadn't come in to check whether we were still alive."""
text20282;"""I always had a feeling they were somewhere close, watching the house."""
text20283;"""Well, what do you want me to say?"""
text20284;"""That you won't do it anymore?"""
text20285;"""I knew how useless the promise would be."""
text20286;"""Every hangover I too would swear to myself that I'd never drink again."""
text20287;"""But I had to handle this quickly, even if not immediately."""
text20288;"""Just the thought that her bodyguards might notice the state we were in terrified me."""
text20289;"""My battered nervous system was starting to fail, and I felt myself start to sweat intensely."""
text20290;"""Nick, are you alright?"""
text20291;"""I don't know."""
text20292;"""What if it was a heart attack?"""
text20293;"""I stopped, resting my hand against a wall."""
text20294;"""My went got dark, and my heart started racing."""
text20295;"""It felt like my chest was tied with a tight belt, every breath took an enormous effort."""
text20296;"""I looked at my hands and couldn't understand what was happening — it was like looking at the world from outside myself, like there was a TV screen broadcasting my life."""
text20297;"""Hold on!"""
text20298;"""Ellie ran to a vending machine full of drinks and bought a bottle of water."""
text20299;"""Here, drink."""
text20300;"""I really was thirsty like I'd just run ten kilometers without stopping."""
text20301;"""I emptied the entire bottle in one go."""
text20302;"""Thank you."""
text20303;"""Better now?"""
text20304;"""I don't know."""
text20305;"""I listened to my senses and found that the panic did seem to have faded a little."""
text20306;"""Let's go?"""
text20307;"""Let's go…"""
text20308;"""I didn't want to show weakness — not as much to her as to myself."""
text20309;"""However that feeling of losing control over the situation frightened me."""
text20310;"""Did I really control anything in my own life?"""
text20311;"""…"""
text20312;"""By the time we reached the studio, we found that the other members of Z FEEL-Z had started without us."""
text20313;"""We were thinking you wouldn't come!"""
text20314;"""Ishida greeted us cheerfully, but his demeanor quickly soured as he noticed our battered condition."""
text20315;"""You aren't coming from school?"""
text20316;"""I was about to reply but Ellie was faster:"""
