text14227;"""Sleep well?"""
text14228;"""I had been dreaming about Catherine, but her mother woke me up so unceremoniously that the dream immediately faded in the bright rays of the morning sun."""
text14229;"""I opened my eyes — the view seemed to have changed over the course of the night."""
text14230;"""What happened?"""
text14231;"""I pulled myself up and looked around — I was in Catherine's bedroom, in her bed."""
text14232;"""Apparently, the sofa springs got the best of me last night."""
text14233;"""Sorry, it's just that your sofa isn't very comfortable."""
text14234;"""The pillow still smelled like Catherine's shampoo."""
text14235;"""No doubt."""
text14236;"""I quickly dressed and walked to the living room."""
text14237;"""Of course, the situation was awkward, but I had more important things to deal with!"""
text14238;"""Mrs Winters had already made her coffee and was reading the morning newspaper."""
text14239;"""It was seven o'clock, and we had gone to bed long after midnight."""
text14240;"""You're an early bird."""
text14241;"""God favors early birds. Do you believe in God, Nikolai?"""
text14242;"""I don't think my religious views matter right now."""
text14243;"""I guess not."""
text14244;"""Have you decided what you're going to do?"""
text14245;"""The American government doesn't negotiate with terrorists — and the Japanese are behaving exactly like terrorists!"""
text14246;"""Besides, even if we play along, it might result in even bigger losses."""
text14247;"""Suddenly, her expression soured and she stared into her cup."""
text14248;"""Moreover, I'm not authorized to make decisions like that anyway."""
text14249;"""I'll have to talk to my superiors in Washington."""
text14250;"""If I understand you correctly, you're saying that Catherine's life is an acceptable loss to them?"""
text14251;"""National interests always take precedence over individual lives."""
text14252;"""Suddenly, Mrs Winters smiled."""
text14253;"""But don't worry! I won't let anything happen to Catherine."""
text14254;"""So I'll have to spend another day just sitting here?"""
text14255;"""My own helplessness made a wave of primal fury rise inside of me."""
text14256;"""Unless you're planning to meet with Ito in the near future, yes, that's your best option."""
text14257;"""I hope you're right… But we've run out of spaghetti, and I haven't found anything else in the kitchen."""
text14258;"""You can order something to eat."""
text14259;"""She took out her wallet and threw a few bills on the table."""
text14260;"""But be careful."""
text14261;"""I'll ask them to leave the food at the door."""
text14262;"""Attaboy."""
text14263;"""…"""
text14264;"""Life was boiling on the other side of the window, the TV displaying an endless series of bizarre shows only the Japanese could really appreciate."""
text14265;"""Even having lived in this country for ten years, I still couldn't understand what was happening in most of them."""
text14266;"""When you feel bored, overeating is a great way to spend time!"""
text14267;"""I ordered food from three different restaurants, and by noon the springs of the accursed sofa were under much more pressure than the night before."""
text14268;"""I had also found a bottle of whiskey in the kitchen yesterday, but at that time it made me feel nothing."""
text14269;"""But the stupider the shows became, the stronger was the allure of the fire water — or, to be more precise, of the American bourbon I'd never tried before."""
text14270;"""First I just walked to the kitchen to get some water."""
text14271;"""Then I opened the cupboard with the bottle."""
text14272;"""I stared at it for a long time and couldn't bring myself to take it out."""
text14273;"""It wasn't full, but there was enough to get shitfaced, sleep on it, and then have a full-fledged hangover by the time Catherine's mother would be back."""
text14274;"""I didn't know who would've won in the end — my conscience or the Kentucky bourbon — because the ring of the doorbell interrupted my internal conflict."""
text14275;"""I shuddered — as far as I remembered, I hadn't ordered any more food."""
text14276;"""Perhaps it was someone looking for Mrs Winters? <w>Then they would leave once they realized there was no one at home."""
text14277;"""Unfortunately, the working TV was totally giving me away."""
text14278;"""I sneaked into the living room on tiptoes and carefully turned the sound off."""
text14279;"""But the unwanted guest wasn't even thinking about leaving — over the course of two minutes they rang the bell at least five more times."""
text14280;"""Finally, someone knocked on the door and I heard a familiar voice. <w>Himitsu's voice."""
text14281;"""Niko-kun."""
text14282;"""Niko-kun, I know you're there."""
text14283;"""Niko-kun, open the door, we need to talk."""
text14284;"""The house was new and the floors in the apartment didn't creak — I silently approached the front door and looked through the peephole."""
text14285;"""There, indeed, was Himitsu, and at the first glance it seemed like she was alone."""
text14286;"""The metal door inspired confidence, and I doubted anyone would try to break through it in the middle of the day anyway."""
text14287;"""How did you know I'm here?"""
text14288;"""Niko-kun, please open the door! I'm scared…"""
text14289;"""I'm not going to open it until you explain what's going on."""
text14290;"""Actually, I wasn't going to open it at all."""
text14291;"""Dad told me where you are and asked me to give you this."""
text14292;"""She showed me a folder with some papers."""
text14293;"""It has the proof that your parents were killed on the orders of Winter-san."""
text14294;"""Yeah, right…"""
text14295;"""It's true!"""
text14296;"""Himitsu pleaded."""
text14297;"""Niko-kun, dad wants to protect you. And that guy in your house, he… If not for dad…"""
text14298;"""She couldn't find the right words and in the end just broke into tears."""
text14299;"""Just a second ago I had been positive I wouldn't let her in no matter what, but I could clearly see the corridor — it would be hard for someone to break into the apartment in the couple seconds I'd need to open the door, drag Himitsu inside, and then lock it again."""
text14300;"""Why didn't your father come himself?"""
text14301;"""I said slowly to amplify the element of surprise and opened the door abruptly."""
text14302;"""Himitsu appeared in the apartment, but the corridor outside remained quiet — it seemed she really had come alone."""
text14303;"""I returned to the living room and sat on the sofa."""
text14304;"""She followed me, looked around, and stared at me with her giant green eyes, firmly pressing the folder to her chest."""
text14305;"""I don't know what your father wants from me, but he kidnapped Catherine — we have nothing to talk about until she's safe."""
text14306;"""Of course, I was curious about the folder, but decided to stick to my guns until the end."""
text14307;"""Niko-kun, Katty-chan is safe. She's even safer there than with <i>this</i> woman."""
text14308;"""<i>With this woman</i>."""
text14309;"""I scoffed."""
text14310;"""You're talking about her mother! Following the same logic, I can say you aren't safe with Ito!"""
text14311;"""Everyone was trying to convince me of their integrity: Sheryl Winters, Ito, Himitsu on Ito's behalf, Michael."""
text14312;"""Although, why did I trust Mrs Winters so blindly?"""
text14313;"""I just believed blindly that I had no other choice, that a simple school kid was no match for the Corporation."""
text14314;"""Was that really my only possible strategy, or just the most convenient one?"""
text14315;"""I looked askance at the folder in Himitsu's hands."""
text14316;"""Here."""
text14317;"""She noticed that and stretched it over to me."""
text14318;"""I didn't hesitate for long — what would be the point in backing off now?"""
text14319;"""In the folder, there were a lot of stamped papers filled with text in English: surveillance protocols, reports, meeting transcripts, orders, administrative notes, and so on."""
text14320;"""Many of them had the signature of Catherine's mother."""
text14321;"""While I was reading, Himitsu stood there like a statue."""
text14322;"""There was a lot of information, but the general idea was clear: Sheryl Winters knew about the surveillance of my parents. <w>Moreover, she was in charge of it."""
text14323;"""In all these documents, they were identified as Soviet spies."""
text14324;"""Why would spies be allowed to work on the Project in the first place…?"""
text14325;"""And what conclusion did you think I'd draw based on this?"""
text14326;"""I messily stuffed the papers back into the folder and threw it on the table."""
text14327;"""Niko-kun…"""
text14328;"""Himitsu finally flinched and wearily sat on the chair."""
text14329;"""I can't figure out what you and your father are trying to achieve, but if she had wanted to harm me, she would've done so a long time ago."""
text14330;"""Sorry to say, but your dad was much less persuasive, swinging his pistol around."""
text14331;"""And why me? I know nothing, I don't have the documents or information everyone seems to need!"""
text14332;"""Do I have a honeypot strapped to my back or something?"""
text14333;"""Niko-kun, do you think that I…"""
text14334;"""I didn't let her finish."""
text14335;"""I don't know what to think anymore, sunshine! Didn't you make a scene on my porch a few days ago?"""
text14336;"""Of course, I'm grateful (to some extent) for knowing that I could've been a father, but…"""
text14337;"""I was running out of air and had to take a deep breath."""
text14338;"""I don't blame Catherine! There's nothing to blame her for! Neither the miscarriage, nor for having a mother like that!"""
text14339;"""And you aren't the one to blame for your father's sins."""
text14340;"""Himitsu burst into tears again."""
text14341;"""By now I was ready to join her."""
text14342;"""But everything worked out the way it did…"""
text14343;"""And right now I just want to save the girl I love. And I doubt your father intends to help me with that."""
text14344;"""Especially considering he is the one who kidnapped her."""
text14345;"""What was even the point of sending you here?"""
text14346;"""Himitsu cast her head as low as she could as if confessing her sins."""
text14347;"""Niko-kun, I did everything I could."""
text14348;"""She said in a stranger's voice."""
text14349;"""You could've tried to influence your father — maybe, he would've stopped using innocent people to achieve his dubious ends!"""
text14350;"""Suddenly, I heard the sound of a key turning in the keyhole."""
text14351;"""I froze, and Himitsu raised her head and looked at me in fear."""
text14352;"""Nikolai?"""
text14353;"""I hadn't expected Mrs Winters to return so early."""
text14354;"""Although, why would today be the same as yesterday?"""
text14355;"""She took off her shoes, entered the living room, and stopped with an expression of genuine surprise on her face."""
text14356;"""You've got a guest?"""
text14357;"""Ito's girl…"""
text14358;"""She finally said with contempt."""
text14359;"""Mrs Winters, Himitsu has nothing to do with all this!"""
text14360;"""Was I supposed to protect her after all she'd done?"""
text14361;"""Was I supposed to trust Sheryl Winters after what I'd read?"""
text14362;"""It was clear she had committed a lot of sins — she never tried to convince me otherwise — but Himitsu's papers spoke for themselves."""
text14363;"""In the heat of the moment, it was hard to draw the right conclusions, but my intuition was telling me that this woman was capable of worse!"""
text14364;"""How did you have the nerve to come here?!"""
text14365;"""I'm sorry…"""
text14366;"""Instinctively, I wanted to defend Himitsu, but the voice of my suspicious mind was telling me not to trust anyone at all."""
text14367;"""Stand up for Himitsu"""
text14368;"""You don't have to apologize to her."""
text14369;"""I said with determination in my voice."""
text14370;"""Even the mothers of serial killers try to justify their children's deeds — and similarly, I took Himitsu's side almost in contradiction of common sense."""
text14371;"""And what would you say about this, Mrs Winter?"""
text14372;"""I took the folder and slammed it on the table."""
text14373;"""About what?"""
text14374;"""I learned a lot about you today. For example, that you were signing off on my parents' surveillance."""
text14375;"""And?"""
text14376;"""She replied without pause."""
text14377;"""Somehow I expected nothing else."""
text14378;"""I was just doing my job, and if you think your parents were without sin…"""
text14379;"""Anyway, it doesn't matter. She has no reason to be here!"""
text14380;"""Himitsu kept standing there with her head down, like she was looking for something in the cracks in the floor."""
text14381;"""Sorry…"""
text14382;"""She was about to leave, but I abruptly stood up and grabbed her by the hand."""
text14383;"""Maybe you should be the one to leave, Mrs Winters?"""
text14384;"""You're in my apartment."""
text14385;"""Oh, right…"""
text14386;"""I caught myself and let go of Himitsu."""
text14387;"""There's nothing else I can do, Niko-kun. It's your decision."""
text14388;"""She walked past Catherine's mother and silently closed the door."""
text14389;"""I really want to yell at you for letting her into my apartment!"""
text14390;"""Mrs Winters pulled out a cigarette and lit it."""
text14391;"""But I realize there's no point."""
text14392;"""You were protecting the girl so ferociously — is there anything between you two?"""
text14393;"""We're just friends."""
text14394;"""I replied, embarrassed."""
text14395;"""We've know each other since we were little, live next to each other…"""
text14396;"""Although you must know all that."""
text14397;"""Of course."""
text14398;"""She waved me away and walked off to the kitchen."""
text14399;"""Say nothing"""
text14400;"""<i>Sorry</i>!"""
text14401;"""She threw her hands up and smirked."""
text14402;"""You know, I'm surprised Ito didn't think to show up himself! What a father."""
text14403;"""Not that Mrs Winters could compete for the \""Parent of the Year\"" award either."""
text14404;"""Not any worse than you! In these documents, there's a lot of interesting stuff you forgot to tell me."""
text14405;"""I grabbed the folder and waved it in the air."""
text14406;"""Like the fact that you were signing surveillance reports on my parents!"""
text14407;"""I don't know what he wants to achieve with this junk."""
text14408;"""Mrs Winters said in response, as if she had been expecting those words from me."""
text14409;"""Really now, what did he want to achieve?"""
text14410;"""It was as if all (or nearly all) of my acquaintances put money on me believing them!"""
text14411;"""Well, so what?"""
text14412;"""She asked me."""
text14413;"""I don't know, there's a lot in these documents that…"""
text14414;"""And you must believe your parents were free of sin?"""
text14415;"""Anyway… That doesn't matter right now. You need to go."""
text14416;"""She looked at Himitsu with contempt."""
text14417;"""Excuse me…"""
text14418;"""Himitsu stammered and almost ran out of the apartment, leaving the front door wide open."""
text14419;"""Things didn't go as I'd planned."""
text14420;"""And what had you planned, Mrs Winters?"""
text14421;"""I finally came to my senses, and the burning feeling of shame for not speaking up for Himitsu suddenly cut right though me."""
text14422;"""Had you planned for Catherine to get kidnapped by the Japanese while you try to convince me everything's fine?"""
text14423;"""She just scoffed in response and left for the kitchen."""
