text33506;"""That's how my story ended…"""
text33507;"""...are the words a writer would have put at the end of a novel about the life of Nikolai Anokhin."""
text33508;"""Indeed, in the real world, unlike in books, most stories don't have a happy ending — the blind sequence of accidents knows no compassion, love, or sympathy."""
text33509;"""The death of one human, thousands, or millions on the scale of even our backwater planet is just a matter of chance, no more significant than winning the lottery."""
text33510;"""I made my bet — and I lost. I trusted my compatriots — and was deceived by them..."""
text33511;"""Cold sweat burned my back, and the total darkness I was in numbed my sense of reality — it felt like I had already died, and only an intense headache proved me wrong."""
text33512;"""It was hard to say how many hours I spent unconscious."""
text33513;"""The room where I was kept resembled a closet more than anything, with no windows and a single metal door that let no light through."""
text33514;"""Hey…"""
text33515;"""I wheezed, to which my entire body responded with pain."""
text33516;"""Himitsu… <w>We had been separated, and I was left alive."""
text33517;"""So they still needed me for something."""
text33518;"""Memories began to return, each a burst of acute pain in the back of my head."""
text33519;"""It seemed that after they had stunned me, one of them said something… <w>But what exactly?"""
text33520;"""I didn't remember the face of the attacker, he may very well have been wearing a mask."""
text33521;"""There was the blow, and then the curtains dropped and darkness came. <w>Like in a theater."""
text33522;"""I was going through that moment again and again in my head."""
text33523;"""The blow and the words in the unfamiliar language."""
text33524;"""The blow and…"""
text33525;"""Drive… <i>Drive</i>…"""
text33526;"""<i>Drive</i>!"""
text33527;"""In English!"""
text33528;"""Then the door opened, and the entire room was drowned in bright light. It reached into every corner and seemed to be filling me from inside."""
text33529;"""I squeezed my eyes so hard they hurt — but there was no escaping it."""
text33530;"""Somebody grabbed me by the arm and pulled me back on my feet with one strong jerk."""
text33531;"""Then I was led through long, narrow corridors."""
text33532;"""Finally, I was sat on a chair, uncuffed, and heard the sound of a door closing behind my back."""
text33533;"""I wasn't alone in the space that resembled the interrogation room of a police station."""
text33534;"""My eyes were still blinded by white light, but it was as if I could feel the presence of someone in the corner, hidden in shadow, with my skin."""
text33535;"""Nikolai."""
text33536;"""Soon Catherine's mother herself appeared in the light."""
text33537;"""It is a pity to meet in these circumstances."""
text33538;"""She sat behind the table across from me."""
text33539;"""Himitsu…"""
text33540;"""My voice sounded hoarse and strained, as if it didn't belong to me."""
text33541;"""What have you done to her?"""
text33542;"""She's safe for now. What will happen next depends entirely on you."""
text33543;"""What about the Russians? I thought we got captured by them."""
text33544;"""If we had been late even by a minute, that would've been the case."""
text33545;"""She pulled a pack of cigarettes out of her pocket and shook it thoughtfully, as if choosing which to take."""
text33546;"""Perhaps if we had, you would've already been in Moscow instead of having this conversation. Tough luck."""
text33547;"""What do you need from me? I've already told you — I don't have any documents!"""
text33548;"""The reality of the situation started to get through to me more and more clearly, and with it came anger."""
text33549;"""I was willing to believe that last time, but Ito's daughter has fixed that unfortunate omission."""
text33550;"""What...?"""
text33551;"""You still don't to see the entire picture?"""
text33552;"""She laughed and finally lit the cigarette."""
text33553;"""Ito was just waiting for her return — and by lucky coincidence, she took with her the documents the Russians needed."""
text33554;"""They don't present any particular value or threat to us or the Japanese, but they do provide an opportunity to accuse the USSR of industrial espionage."""
text33555;"""You parents, unfortunately, left this world too early to play that role."""
text33556;"""How dare you…"""
text33557;"""I jumped up from the chair but the look she gave me made me quickly realize it wasn't even worth trying."""
text33558;"""So, the documents are in the KGB's hands. Now we only need to capture the traitor who finished the job his parents couldn't."""
text33559;"""Finally, all the pieces of the puzzle fit together."""
text33560;"""This was their plan from the very beginning!"""
text33561;"""From the very beginning, they'd been pushing me to cooperate with the KGB, setting everything up to leave me no choice but to agree to Irina's terms."""
text33562;"""There was only one piece that was still out of place…"""
text33563;"""If everything is as you say, what was all that shooting about? A bit too much noise for a secret operation."""
text33564;"""Apparently, Sheryl Winters wasn't overjoyed by the question."""
text33565;"""The Russians decided to eliminate the witnesses at the last moment."""
text33566;"""So they were the ones who started shooting?"""
text33567;"""Yes."""
text33568;"""How very convenient."""
text33569;"""Although I couldn't rule out the possibility that it was the truth."""
text33570;"""Alright. So what's next? Sounds like you need me alive — for the show trial."""
text33571;"""The son of Russian spies following in his dead parents' footsteps. I can already imagine the headlines!"""
text33572;"""I only had one thought in my head — I had to protect Himitsu. <w>At any cost."""
text33573;"""Let's say I do everything you want me to…"""
text33574;"""You aren't in a position to make demands."""
text33575;"""You won't make me talk by force either!"""
text33576;"""Depends on the cost of your silence."""
text33577;"""…"""
text33578;"""For instance, is your girlfriend's life a high enough price?"""
text33579;"""I only grit my teeth."""
text33580;"""They really did hold all the aces."""
text33581;"""Do everything like you're supposed to, and she'll live. Try to play your own tune, and both of you will be feeding the fish in Tokyo bay."""
text33582;"""How's that for straight talk!"""
text33583;"""Where are my guarantees?"""
