text3205;"""Get up!"""
text3206;"""Someone's voice was ringing in my head."""
text3207;"""It felt like I was being lobotomized."""
text3208;"""Get up! Niko-kun, get up!"""
text3209;"""I arduously opened my right eye."""
text3210;"""The pain abruptly jumped to the left half of the brain."""
text3211;"""Here you go..."""
text3212;"""Himitsu let out a relieved sigh."""
text3213;"""But today's Saturday..."""
text3214;"""I grumbled and turned to the other side."""
text3215;"""It's Friday! Get up!"""
text3216;"""She started to shake me by the shoulder."""
text3217;"""Enough already!"""
text3218;"""I finally grew sick of it and jumped out of bed."""
text3219;"""See, it wasn't that hard."""
text3220;"""Himitsu was smiling. <w>As if everything was fine."""
text3221;"""Although, why would something not be fine?"""
text3222;"""I looked at the clock — she was more or less keeping to her daily regimen. <w>So why did I feel so terrible then?"""
text3223;"""Breakfast?"""
text3224;"""You're not getting borscht today!"""
text3225;"""She puffed out her cheeks, just like a hamster."""
text3226;"""What's so funny?"""
text3227;"""Nothing, you just... look amusing."""
text3228;"""Himitsu blushed and her gaze darted back and forth across the room."""
text3229;"""Yeah, amusing. Like a little hamster!"""
text3230;"""She stomped her foot, hissed, and left the room."""
text3231;"""Himitsu always looked funny when she was angry."""
text3232;"""But it was all mostly a game."""
text3233;"""She was used to hiding her true feelings and emotions, and even I couldn't always say what was she was thinking at any given moment."""
text3234;"""Laid out on the table was a traditional Japanese breakfast."""
text3235;"""I reckoned it wasn't the best time to turn my nose up and pretend to be a gastronome, so I silently sat down and started to eat."""
text3236;"""<note=note18>Itadakimasu</note>."""
text3237;"""Himitsu said in a deliberately serious tone."""
text3238;"""Mhm."""
text3239;"""I snorted in response with my mouth full."""
text3240;"""Niko-kun, you don't pay attention to what's happening around you at all."""
text3241;"""What do you mean?"""
text3242;"""You sleep like a log. What if someone were to break into the house at night and rob you?"""
text3243;"""And what would they take exactly?"""
text3244;"""I laughed, choked, coughed, and jumped up to get myself a glass of cold water."""
text3245;"""How would the thieves know? The house looks nice from the outside."""
text3246;"""Uh-huh, so you really think robbers pull off their jobs on a whim, without investigating first?"""
text3247;"""And how would they <i>investigate</i>, hm?"""
text3248;"""Well, uh... I've no idea! Or do you think I earn side cash by robbing houses at night?"""
text3249;"""It's just that yesterday I saw a suspicious man nearby."""
text3250;"""A suspicious man?"""
text3251;"""Yes, he was looking at something through your windows."""
text3252;"""I let out an incredulous sniff, which embarrassed Himitsu."""
text3253;"""Or maybe it was just my imagination..."""
text3254;"""Of course, a lot had happened over the last several days, but I couldn't just write everything off as schemes of the enemies of the people."""
text3255;"""Moreover, in this case, Himitsu seemed to just want some attention."""
text3256;"""And she had her reasons — I really had been ignoring her a lot lately."""
text3257;"""So what was so <i>suspicious</i> about this man of yours?"""
text3258;"""I grinned."""
text3259;"""He's not mine!"""
text3260;"""Himitsu stood up and started to furiously wash the dishes."""
text3261;"""Hey! I didn't finish the food!"""
text3262;"""I tried to take back the bowl of miso. <w>It was almost full!"""
text3263;"""You don't like my cooking anyway."""
text3264;"""Breakfast is the most important meal of the day!"""
text3265;"""I even had to get up from my chair to win back my rightful serving."""
text3266;"""..."""
text3267;"""The water flowed from the tap so strongly it broke against the base of the sink and splashed everywhere."""
text3268;"""Soon Himitsu's school uniform grew wet, dark spots appearing here and there."""
text3269;"""Well, what do you think I should do? Go to the police?"""
text3270;"""She didn't reply."""
text3271;"""I'm not saying it was your imagination or that you made it all up. It's just that... Real life is much more complicated."""
text3272;"""How would you know?"""
text3273;"""She responded in a dull voice."""
text3274;"""It seemed like I shouldn't have been making fun of her so stubbornly."""
text3275;"""I slowly got up, approached her, and hugged Himitsu from behind."""
text3276;"""Come on, sorry..."""
text3277;"""I slowly whispered into her ear."""
text3278;"""Niko-kun, don't..."""
text3279;"""She tried to break free, but the attempt was reluctant, effortless, as though she wasn't sure if she really wanted to."""
text3280;"""These \""displays of affection\"" weren't anything unusual for us."""
text3281;"""I didn't know how typical Japanese people would react to something like this, but Himitsu was used to it."""
text3282;"""And I was too, even more so."""
text3283;"""It was only lately that I had noticed something start to change in our relationship."""
text3284;"""Maybe it was due to Catherine's return, or maybe because the two of us just grew older."""
text3285;"""And the things trivial for grade schoolers started to gain much more meaning."""
text3286;"""Alright, let's go already, or we'll be late!"""
text3287;"""Nonetheless, I had absolutely no desire to make excuses."""
text3288;"""I let go of Himitsu and took a couple steps back."""
text3289;"""Fine, I'll just go change quickly."""
text3290;"""She replied as if nothing happened, pointing at her soaked school uniform."""
text3291;"""..."""
text3292;"""I was standing outside, waiting for Himitsu."""
